,scenario,reverb,snr,si_sdri,si_sdr,si_sdr_start,si_sdr_start_speaker0,si_sdr_start_speaker1,si_sdr_speaker0,si_sdr_spkeaker1
62,62,0.41,12.67,6.161411762237549,5.9229736328125,-0.23843833804130554,-0.2316001057624817,-0.2452765554189682,5.32918643951416,6.51676082611084
63,63,0.44,6.51,9.041712760925293,8.10720157623291,-0.9345110654830933,-0.9263383746147156,-0.9426836967468262,8.170138359069824,8.044264793395996
64,64,0.22,12.76,0.8870153427124023,0.5989733934402466,-0.28804197907447815,-0.2794860005378723,-0.296597957611084,1.1585627794265747,0.03938395902514458
65,65,0.57,10.44,6.165035247802734,5.780068397521973,-0.3849669098854065,-0.3853176534175873,-0.3846161961555481,5.988386154174805,5.571751117706299
66,66,0.52,11.98,9.887418746948242,9.576624870300293,-0.3107936680316925,-0.32578831911087036,-0.29579901695251465,9.494842529296875,9.658407211303711
67,67,0.46,9.14,4.9675774574279785,4.455789566040039,-0.5117877125740051,-0.48107072710990906,-0.5425047278404236,4.2708539962768555,4.640725135803223
68,68,0.41,7.35,7.949354648590088,7.191481590270996,-0.7578730583190918,-0.7063260078430176,-0.8094200491905212,6.979095458984375,7.403867721557617
69,69,0.4,12.72,10.623846054077148,10.530964851379395,-0.09288141131401062,-0.06399910897016525,-0.12176370620727539,10.415349960327148,10.64657974243164
70,70,0.44,9.52,10.514398574829102,10.0169677734375,-0.49743109941482544,-0.5166889429092407,-0.47817322611808777,10.062299728393555,9.971634864807129
71,71,0.26,14.51,4.757404327392578,4.64649772644043,-0.1109066978096962,-0.10908962786197662,-0.11272376775741577,4.663125038146973,4.629870414733887
72,72,0.53,7.49,8.150154113769531,7.471428871154785,-0.6787254214286804,-0.6756446361541748,-0.681806206703186,7.357281684875488,7.585575580596924
73,73,0.51,3.64,8.03303337097168,6.483165740966797,-1.549868106842041,-1.5836154222488403,-1.5161206722259521,6.9349260330200195,6.031405925750732
74,74,0.42,2.01,9.111940383911133,6.987403869628906,-2.1245369911193848,-2.100301742553711,-2.1487724781036377,6.495911598205566,7.478895664215088
75,75,0.58,8.2,-1.6697185039520264,-2.3099300861358643,-0.6402116417884827,-0.6446187496185303,-0.6358045339584351,-3.6799373626708984,-0.9399229288101196
76,76,0.51,9.45,9.218026161193848,8.721952438354492,-0.496073842048645,-0.46293556690216064,-0.5292121171951294,8.398665428161621,9.045239448547363
77,77,0.46,1.07,4.491287708282471,2.034597396850586,-2.4566903114318848,-2.520764112472534,-2.3926162719726562,2.245978355407715,1.8232166767120361
78,78,0.24,0.72,1.1135432720184326,-1.557227373123169,-2.6707706451416016,-2.6543164253234863,-2.687224864959717,-2.9425292015075684,-0.17192566394805908
79,79,0.48,13.97,2.1186041831970215,1.9985911846160889,-0.12001307308673859,-0.11298597604036331,-0.12704017758369446,2.167537212371826,1.829645037651062
80,80,0.51,4.35,9.559598922729492,8.234481811523438,-1.325117588043213,-1.3377152681350708,-1.312519907951355,8.342864036560059,8.1260986328125
81,81,0.44,10.54,9.434919357299805,9.023082733154297,-0.4118366837501526,-0.4219251871109009,-0.4017481505870819,8.937798500061035,9.108366012573242
82,82,0.38,12.9,-0.4295622706413269,-0.6706241369247437,-0.24106188118457794,-0.22772276401519775,-0.25440099835395813,-1.0284385681152344,-0.31280967593193054
83,83,0.22,12.78,11.370118141174316,11.075422286987305,-0.2946961522102356,-0.2948854863643646,-0.2945067882537842,10.945815086364746,11.205028533935547
84,84,0.38,3.16,1.0843548774719238,-0.631695568561554,-1.7160505056381226,-1.6928900480270386,-1.7392109632492065,-1.0208866596221924,-0.24250447750091553
85,85,0.23,12.95,10.12680721282959,9.852888107299805,-0.2739187180995941,-0.2814158797264099,-0.2664215564727783,10.010565757751465,9.695210456848145
86,86,0.29,9.5,8.603426933288574,8.075590133666992,-0.5278366804122925,-0.524172842502594,-0.531500518321991,7.96995210647583,8.181228637695312
87,87,0.57,2.78,9.324360847473145,7.46574068069458,-1.8586204051971436,-1.8404680490493774,-1.8767728805541992,7.433145523071289,7.498335838317871
88,88,0.46,10.3,9.013033866882324,8.600203514099121,-0.41283056139945984,-0.42348331212997437,-0.4021778106689453,8.367755889892578,8.832651138305664
89,89,0.29,12.68,-0.16175350546836853,-0.4146602749824524,-0.25290676951408386,-0.24993397295475006,-0.25587958097457886,-0.6009039878845215,-0.2284165471792221
90,90,0.5,4.95,6.6209001541137695,5.289745807647705,-1.3311545848846436,-1.3377101421356201,-1.3245989084243774,5.553266525268555,5.0262250900268555
91,91,0.56,13.28,8.731610298156738,8.623327255249023,-0.10828310251235962,-0.10197041928768158,-0.11459578573703766,8.692130088806152,8.554524421691895
92,92,0.22,1.21,9.314371109008789,6.860301971435547,-2.454068660736084,-2.469434976577759,-2.438702344894409,7.104739189147949,6.615865230560303
93,93,0.51,14.29,8.939480781555176,8.794185638427734,-0.14529487490653992,-0.14207498729228973,-0.1485147774219513,8.795738220214844,8.792633056640625
94,94,0.45,8.12,9.076728820800781,8.571859359741211,-0.5048692226409912,-0.49611079692840576,-0.5136277079582214,8.63191032409668,8.511809349060059
95,95,0.48,9.28,8.11978530883789,7.73332405090332,-0.3864615559577942,-0.40969693660736084,-0.36322617530822754,7.800827503204346,7.665821075439453
96,96,0.38,3.04,9.716785430908203,7.907524108886719,-1.809261679649353,-1.8300114870071411,-1.788511872291565,7.095265865325928,8.719781875610352
97,97,0.33,3.87,6.700105667114258,5.227180480957031,-1.4729249477386475,-1.4742435216903687,-1.4716062545776367,4.3210039138793945,6.133357048034668
98,98,0.56,5.46,9.98197078704834,8.881362915039062,-1.1006081104278564,-1.1360301971435547,-1.0651859045028687,8.619288444519043,9.143436431884766
99,99,0.48,6.88,9.201335906982422,8.377873420715332,-0.8234624862670898,-0.8322682976722717,-0.8146567344665527,8.38929271697998,8.366454124450684
100,100,0.45,11.21,-2.6731855869293213,-2.9944775104522705,-0.3212919235229492,-0.3334347605705261,-0.3091490566730499,-4.314364433288574,-1.6745907068252563
