,scenario,reverb,snr,si_sdri,si_sdr,si_sdr_start,si_sdr_start_speaker0,si_sdr_start_speaker1,complement_si_sdr_speaker0,complement_si_sdr_speaker1,si_sdr_speaker0,si_sdr_speaker1
0,0,0.31,3.82,10.6511812210083,6.938753128051758,-3.712428092956543,-9.247833251953125,1.8229771852493286,2.0729193687438965,12.193669319152832,3.042196750640869,10.835309028625488
1,1,0.32,13.88,8.855443954467773,8.491891860961914,-0.3635523021221161,0.11355014145374298,-0.840654730796814,8.73936939239502,8.21845817565918,8.81210994720459,8.171674728393555
2,2,0.42,3.31,5.033329963684082,1.0056307315826416,-4.0276994705200195,-9.74773120880127,1.692332148551941,-3.7421939373016357,8.800409317016602,-4.510864734649658,6.522126197814941
3,3,0.34,5.03,11.463583946228027,8.422998428344727,-3.040585517883301,-8.557863235473633,2.4766924381256104,2.4886653423309326,13.560136795043945,5.676718711853027,11.16927719116211
4,4,0.33,13.62,7.469636917114258,6.9498186111450195,-0.5198183059692383,6.138936996459961,-7.1785736083984375,11.688343048095703,2.183015823364258,10.890727996826172,3.0089097023010254
5,5,0.45,4.95,3.1515893936157227,1.0541908740997314,-2.097398519515991,-2.1378746032714844,-2.056922435760498,1.3456904888153076,1.8013232946395874,0.9302181601524353,1.1781636476516724
6,6,0.44,8.44,7.270273208618164,6.244361877441406,-1.0259112119674683,-0.7636675238609314,-1.2881548404693604,5.61250114440918,5.362456321716309,6.835792541503906,5.652931213378906
7,7,0.3,1.75,8.14824390411377,4.462575912475586,-3.6856677532196045,-3.7068448066711426,-3.6644906997680664,4.999619483947754,4.964832782745361,4.5169501304626465,4.408201217651367
8,8,0.38,8.43,8.59163761138916,7.064325332641602,-1.5273122787475586,3.226888656616211,-6.281513214111328,10.796119689941406,3.3030200004577637,9.68972396850586,4.438926696777344
9,9,0.24,6.37,10.294355392456055,8.543724060058594,-1.75063157081604,0.24191561341285706,-3.7431788444519043,10.606609344482422,6.435418605804443,8.827554702758789,8.259893417358398
10,10,0.49,7.66,10.512273788452148,8.4861478805542,-2.026125431060791,-8.025003433227539,3.972752332687378,4.910839557647705,12.359980583190918,4.050681114196777,12.921614646911621
11,11,0.33,13.09,9.511131286621094,8.72683048248291,-0.7843003273010254,-7.492388725280762,5.923788070678711,4.041764736175537,13.209789276123047,5.095182418823242,12.358478546142578
12,12,0.52,11.18,8.354602813720703,6.640340805053711,-1.7142624855041504,8.095786094665527,-11.524311065673828,14.875896453857422,-1.2413504123687744,11.967020034790039,1.313661813735962
13,13,0.33,2.17,8.023245811462402,4.253050804138184,-3.7701947689056396,-6.723630905151367,-0.8167585730552673,1.308194637298584,8.573972702026367,2.8776588439941406,5.628442764282227
14,14,0.25,6.65,13.337181091308594,11.747528076171875,-1.5896525382995605,-2.578223705291748,-0.6010814309120178,11.542048454284668,11.915075302124023,10.678115844726562,12.816940307617188
