,scenario,reverb,snr,si_sdri,si_sdr,si_sdr_start,si_sdr_start_speaker0,si_sdr_start_speaker1,si_sdr_speaker0,si_sdr_spkeaker1,vad_accuracy,vad_acc_speaker0,vad_acc_speaker1
10,10,0.49,7.66,10.809391021728516,8.783266067504883,-2.026125431060791,-8.025003433227539,3.972752332687378,4.355292797088623,13.2112398147583,0.9575999975204468,0.9519999623298645,0.9631999731063843
11,11,0.33,13.09,9.965478897094727,9.181178092956543,-0.7843003273010254,-7.492388725280762,5.923788070678711,5.561622619628906,12.80073356628418,0.9703999757766724,0.9551999568939209,0.9855999946594238
12,12,0.52,11.18,8.669816970825195,6.955554485321045,-1.7142624855041504,8.095786094665527,-11.524311065673828,12.308280944824219,1.6028282642364502,0.9271999597549438,0.9807999730110168,0.8736000061035156
13,13,0.33,2.17,8.49573802947998,4.725543022155762,-3.7701947689056396,-6.723630905151367,-0.8167585730552673,3.1135549545288086,6.337531089782715,0.9327999949455261,0.9567999839782715,0.9088000059127808
14,14,0.25,6.65,13.661664962768555,12.072012901306152,-1.5896525382995605,-2.578223705291748,-0.6010814309120178,11.002843856811523,13.141181945800781,0.9727999567985535,0.974399983882904,0.9711999893188477
15,15,0.57,3.97,6.685009956359863,4.126020431518555,-2.5589892864227295,-1.4686368703842163,-3.6493418216705322,4.103613376617432,4.148427963256836,0.9247999787330627,0.9120000004768372,0.9375999569892883
16,16,0.27,6.06,8.44808578491211,5.43102502822876,-3.0170605182647705,3.842160701751709,-9.87628173828125,10.561617851257324,0.3004322052001953,0.8791999816894531,0.8240000009536743,0.9343999624252319
17,17,0.55,3.38,5.770970821380615,2.6952712535858154,-3.0756995677948,-0.08562600612640381,-6.065773010253906,5.434413433074951,-0.04387105256319046,0.9479999542236328,0.9407999515533447,0.9551999568939209
18,18,0.36,6.16,6.47957706451416,4.521141052246094,-1.9584362506866455,-4.539059638977051,0.6221870183944702,2.5987865924835205,6.443495750427246,0.9791999459266663,0.9759999513626099,0.9824000000953674
19,19,0.48,0.96,1.929396629333496,-2.4855284690856934,-4.4149250984191895,-2.0966873168945312,-6.733162879943848,-0.44297143816947937,-4.528085708618164,0.7871999740600586,0.8095999956130981,0.764799952507019
20,20,0.28,1.12,7.9417901039123535,3.8128581047058105,-4.128931999206543,-4.353847980499268,-3.9040164947509766,4.2313313484191895,3.3943848609924316,0.983199954032898,0.9855999946594238,0.9807999730110168
21,21,0.46,1.61,9.34921932220459,5.189054012298584,-4.160165309906006,-1.4251248836517334,-6.895205974578857,8.139007568359375,2.239100694656372,0.9071999788284302,0.8592000007629395,0.9551999568939209
22,22,0.32,1.5,9.571685791015625,5.698038101196289,-3.873647689819336,-4.242298126220703,-3.5049972534179688,4.645737648010254,6.750338077545166,0.9079999923706055,0.897599995136261,0.91839998960495
23,23,0.24,7.86,11.225191116333008,10.007824897766113,-1.2173665761947632,-0.32114729285240173,-2.113585948944092,9.47119140625,10.544458389282227,0.9663999676704407,0.9695999622344971,0.9631999731063843
24,24,0.41,7.49,9.070568084716797,6.823265075683594,-2.247302532196045,4.239792823791504,-8.734397888183594,10.713730812072754,2.9327988624572754,0.9607999920845032,0.9615999460220337,0.9599999785423279
25,25,0.47,9.95,11.624910354614258,10.567683219909668,-1.0572270154953003,3.4139254093170166,-5.528379440307617,12.268800735473633,8.866565704345703,0.9583999514579773,0.9615999460220337,0.9551999568939209
26,26,0.29,10.05,9.038286209106445,8.243226051330566,-0.795059859752655,-2.217808723449707,0.627689003944397,7.404379844665527,9.082072257995605,0.9695999622344971,0.9535999894142151,0.9855999946594238
27,27,0.57,7.53,8.933856010437012,7.194065093994141,-1.7397911548614502,-6.939628601074219,3.4600462913513184,3.943769931793213,10.444360733032227,0.9927999973297119,0.9855999946594238,1.0
28,28,0.33,11.96,6.460995674133301,5.940947532653809,-0.5200482606887817,-0.17911338806152344,-0.8609830737113953,6.121674537658691,5.760221004486084,0.967199981212616,0.9839999675750732,0.9503999948501587
29,29,0.23,2.67,7.790757656097412,4.563168525695801,-3.2275891304016113,-2.242238998413086,-4.212939262390137,4.797869682312012,4.328467845916748,0.897599995136261,0.9440000057220459,0.8511999845504761
