,scenario,reverb,snr,si_sdri,si_sdr,si_sdr_start,si_sdr_start_speaker0,si_sdr_start_speaker1,si_sdr_speaker0,si_sdr_spkeaker1,vad_accuracy,vad_acc_speaker0,vad_acc_speaker1
0,0,0.5,11.44,-3.1781883239746094,-3.0713534355163574,0.10683488845825195,0.11785019189119339,0.09581957757472992,-3.6773788928985596,-2.465327739715576,0.7527999877929688,0.8303999900817871,0.6751999855041504
1,1,0.26,2.59,7.473262310028076,5.5884294509887695,-1.8848328590393066,-1.8480660915374756,-1.9215996265411377,6.0507307052612305,5.126128673553467,0.7807999849319458,0.7775999903678894,0.7839999794960022
2,2,0.23,1.53,5.282800197601318,3.0454373359680176,-2.237362861633301,-2.262584686279297,-2.2121407985687256,2.8841307163238525,3.2067441940307617,0.8055999875068665,0.7871999740600586,0.8240000009536743
3,3,0.31,6.43,9.946592330932617,9.005268096923828,-0.9413237571716309,-0.9282506108283997,-0.9543968439102173,8.95743465423584,9.053102493286133,0.6711999773979187,0.6543999910354614,0.687999963760376
4,4,0.57,2.28,6.320846080780029,4.34255313873291,-1.9782929420471191,-1.9651072025299072,-1.9914788007736206,4.222883224487305,4.462222576141357,0.8015999794006348,0.7856000065803528,0.8175999522209167
5,5,0.22,14.83,1.549278974533081,1.4548003673553467,-0.09447865933179855,-0.10041826218366623,-0.08853905647993088,1.219772458076477,1.6898283958435059,0.6480000019073486,0.5776000022888184,0.7184000015258789
6,6,0.5,8.65,9.374439239501953,8.739986419677734,-0.6344529390335083,-0.6284362077713013,-0.6404696702957153,9.073820114135742,8.40615177154541,0.4927999973297119,0.553600013256073,0.43199998140335083
7,7,0.49,5.85,6.753627777099609,5.747337818145752,-1.0062899589538574,-1.0013766288757324,-1.0112032890319824,5.798927307128906,5.695748329162598,0.7175999879837036,0.7087999582290649,0.7263999581336975
8,8,0.57,1.58,8.67531967163086,6.401479721069336,-2.2738404273986816,-2.281421184539795,-2.2662599086761475,6.616737365722656,6.186222076416016,0.811199963092804,0.8783999681472778,0.7439999580383301
9,9,0.31,7.35,8.99813175201416,8.306541442871094,-0.6915901899337769,-0.6588602662086487,-0.724320113658905,8.124187469482422,8.488895416259766,0.646399974822998,0.7599999904632568,0.5327999591827393
10,10,0.37,14.61,-1.8193625211715698,-1.8682780265808105,-0.04891551658511162,-0.07169286906719208,-0.02613816410303116,-1.5781259536743164,-2.1584300994873047,0.6656000018119812,0.7727999687194824,0.5583999752998352
11,11,0.45,7.01,7.624544143676758,6.812196731567383,-0.8123471736907959,-0.7994627356529236,-0.8252315521240234,7.1401567459106445,6.484236240386963,0.8223999738693237,0.7871999740600586,0.8575999736785889
12,12,0.41,9.94,8.021635055541992,7.553350448608398,-0.4682846665382385,-0.5028924942016602,-0.4336768388748169,7.816671371459961,7.290029525756836,0.8295999765396118,0.8319999575614929,0.8271999955177307
13,13,0.41,12.18,12.554621696472168,12.343499183654785,-0.21112236380577087,-0.2179107815027237,-0.20433394610881805,12.34585952758789,12.34113883972168,0.6935999989509583,0.6559999585151672,0.7311999797821045
14,14,0.26,6.61,5.877503871917725,5.103323459625244,-0.77418053150177,-0.7951948046684265,-0.7531663179397583,5.012721061706543,5.193925857543945,0.536799967288971,0.4527999758720398,0.6207999587059021
15,15,0.4,9.33,8.189838409423828,7.719862937927246,-0.46997523307800293,-0.45875099301338196,-0.4811994433403015,7.721055030822754,7.718670845031738,0.7335999608039856,0.7295999526977539,0.7375999689102173
16,16,0.5,4.82,9.117557525634766,7.836489677429199,-1.2810680866241455,-1.2913082838058472,-1.2708280086517334,7.528209209442139,8.144770622253418,0.6791999936103821,0.569599986076355,0.7888000011444092
17,17,0.36,6.69,-2.0330612659454346,-3.011160373687744,-0.9780991673469543,-0.9505680799484253,-1.0056302547454834,-1.6249191761016846,-4.397401809692383,0.7495999932289124,0.7360000014305115,0.7631999850273132
18,18,0.36,12.94,7.042591094970703,6.823971748352051,-0.21861958503723145,-0.20701143145561218,-0.2302277386188507,6.727784156799316,6.920159339904785,0.5191999673843384,0.5407999753952026,0.4975999891757965
19,19,0.38,10.87,-0.8030310273170471,-1.1594343185424805,-0.35640329122543335,-0.3587600290775299,-0.3540465235710144,-1.9423078298568726,-0.3765607178211212,0.6399999856948853,0.8271999955177307,0.4527999758720398
20,20,0.24,3.32,0.012001514434814453,-1.6410059928894043,-1.6530075073242188,-1.62082839012146,-1.685186743736267,-3.1627514362335205,-0.11926061660051346,0.6031999588012695,0.5231999754905701,0.6832000017166138
